Brand,Model,Storage Options,Available Colors,Price
"Samsung","Galaxy S25 Ultra","1 TB / 256 GB / 512 GB","titanium black / titanium whitesilver / titanium silverblue / titanium gray","CA$1918.99"
"Samsung","Galaxy S25+","256 GB / 512 GB","mint / navy / silver shadow / icyblue","CA$1438.99"
"Samsung","Galaxy S25","128 GB / 256 GB","mint / navy / icyblue / silver shadow","CA$1198.99"
"Samsung","Galaxy S25 Ultra (Samsung.com only)","1 TB / 256 GB / 512 GB","titanium jetblack / titanium jadegreen / titanium pinkgold","CA$1918.99"
"Samsung","Galaxy S25+ (Samsung.com only)","256 GB / 512 GB","coralred / pinkgold / blueblack","CA$1438.99"
"Samsung","Galaxy S25 (Samsung.com only)","128 GB / 256 GB","coralred / pinkgold / blueblack","CA$1198.99"
"Samsung","Galaxy Z Fold6 (Online Exclusive)","1 TB / 256 GB / 512 GB","crafted black / white","CA$2314.99"
"Samsung","Galaxy Z Flip6 (Online Exclusive)","256 GB / 512 GB","crafted black / peach / light gray","CA$1262.99"
"Samsung","Galaxy Z Fold6","1 TB / 256 GB / 512 GB","pink / navy / silver shadow","CA$2314.99"
"Samsung","Galaxy Z Flip6","256 GB / 512 GB","mint / blue / yellow / silver shadow","CA$1462.99"
"Samsung","Galaxy S24 FE","128 GB / 256 GB","mint / blue / marble gray / graphite","CA$749.99"
"OnePlus","OnePlus 13R","12 GB RAM + 256 GB ROM","Nebula Noir","CA$849.99"
"OnePlus","OnePlus 13","16 GB RAM + 512 GB ROM","Black Eclipse","CA$1,399.99"
"OnePlus","OnePlus 12","16 GB RAM + 512 GB ROM","Silky Black","CA$899.99"
"OnePlus","OnePlus 12R","16 GB RAM + 256 GB ROM","Iron Gray","CA$599.99"
"OnePlus","OnePlus Nord N30 5G","8 GB RAM + 128 GB ROM","Chromatic Gray","CA$299.99"
"Redmi","Xiaomi Redmi 14C","8gb / 256gb","black / blue / green","CA$267.99"
"Redmi","Xiaomi Redmi 13 4G","512gb / 256gb / 128gb","midnight black / ocean blue / pearl pink / sandy gold","CA$281.98"
"Redmi","Xiaomi Redmi Note 14 Pro 4G","512gb / 8gb / 256gb / 12gb","black / blue / purple","CA$423.99"
"Redmi","Redmi Note 13 Pro 5G Smartphone","8gb / 256gb","blue / green / purple","CA$464.99"
"Redmi","Redmi Note 13 Pro Plus 5G Smartphone","512gb / 8gb / 256gb / 12gb","black / purple / white","CA$522.99"
"Redmi","Xiaomi Redmi Note 14 Pro 5G","512gb / 8gb / 256gb / 12gb","black / green / purple","CA$579.99"
"Redmi","Xiaomi Redmi Note 14 Pro Plus 5G","8gb / 256gb / 12gb","black / blue / purple","CA$650.99"
